"time","close","high","low","open","volumefrom","volumeto","conversionType","conversionSymbol","ts","timeDate"
1617602400000,57159.41,57363.48,56798.93,56929.68,12322.08,703721952.59,"direct","",1617602400,"2021-04-05"
1617613200000,57752.65,57757.48,56990.02,57159.41,13284.63,763824346.93,"direct","",1617613200,"2021-04-05"
1617624000000,59112.56,59118.28,57752.62,57752.65,22910.88,1334727019.18,"direct","",1617624000,"2021-04-05"
1617634800000,58951.64,59215.65,58617.7,59112.56,19972.81,1177905078.93,"direct","",1617634800,"2021-04-05"
1617645600000,58774.92,59091.67,58737.46,58951.64,15431.77,909263929.15,"direct","",1617645600,"2021-04-05"
1617656400000,59120.63,59121.45,58496.43,58774.92,13432.81,788986474.49,"direct","",1617656400,"2021-04-05"
1617667200000,58744.4,59488.65,58645.11,59120.63,14871.8,878873959.58,"direct","",1617667200,"2021-04-05"
1617678000000,58862.88,59024.13,58602.28,58744.4,9228.96,542781286.36,"direct","",1617678000,"2021-04-05"
1617688800000,58487.95,58963.79,58351.2,58862.88,17429.19,1022840979.15,"direct","",1617688800,"2021-04-06"
1617699600000,58540.77,58739.49,58335.7,58487.95,18541.68,1085432622.56,"direct","",1617699600,"2021-04-06"
1617710400000,57937.02,59003.83,57429.94,58540.77,23714.66,1381998271.12,"direct","",1617710400,"2021-04-06"
1617721200000,58245.81,58261.03,57635.6,57937.02,14621.85,847561609.1,"direct","",1617721200,"2021-04-06"
1617732000000,58215.27,58306.37,58012.94,58245.81,13268.34,771853772.66,"direct","",1617732000,"2021-04-06"
1617742800000,57982.02,58227.19,57592.86,58215.27,14642.51,848183105.76,"direct","",1617742800,"2021-04-06"
1617753600000,57779.38,58189.98,57218.32,57982.02,15569.59,898275295.64,"direct","",1617753600,"2021-04-06"
1617764400000,58282.06,58310.09,57275.18,57779.38,20068.62,1159740729.63,"direct","",1617764400,"2021-04-06"
1617775200000,57743.56,58641.28,57444.51,58282.06,20403.5,1182238736.12,"direct","",1617775200,"2021-04-07"
1617786000000,56302.08,57812.53,55796.88,57743.56,28490.52,1617234515.7,"direct","",1617786000,"2021-04-07"
1617796800000,56663.95,56925.78,55655.61,56302.08,18243.43,1029945442.22,"direct","",1617796800,"2021-04-07"
1617807600000,56035.06,56857.12,55986.38,56663.95,17704.74,1000060400.06,"direct","",1617807600,"2021-04-07"
1617818400000,56237.44,56442.69,55479.08,56035.06,17924.14,1002819277.06,"direct","",1617818400,"2021-04-07"
1617829200000,55957.67,56564.35,55875.92,56237.44,9210.16,518749282.58,"direct","",1617829200,"2021-04-07"
1617840000000,56499.7,56700.67,55707.91,55957.67,13495.65,759908007.91,"direct","",1617840000,"2021-04-07"
1617850800000,56849.24,57074.72,56270.27,56499.7,12899.96,732022537.28,"direct","",1617850800,"2021-04-07"
1617861600000,56902.56,57327.96,56773.16,56849.24,12210.52,697034116.4,"direct","",1617861600,"2021-04-08"
1617872400000,56427.99,57033.86,56341.69,56902.56,13572.5,769370744.08,"direct","",1617872400,"2021-04-08"
1617883200000,57696.39,57907.82,56342.22,56427.99,18542.64,1063654888.49,"direct","",1617883200,"2021-04-08"
1617894000000,57747.53,57979.34,57548.77,57696.39,11720.11,676776721.18,"direct","",1617894000,"2021-04-08"
1617904800000,57672.37,58153.55,57588.44,57747.53,10293.91,595189935.85,"direct","",1617904800,"2021-04-08"
1617915600000,58084.45,58102.89,57456.22,57672.37,12396.97,716729992.14,"direct","",1617915600,"2021-04-08"
1617926400000,57907.13,58404.54,57864.08,58084.45,14210.77,826234333.49,"direct","",1617926400,"2021-04-08"
1617937200000,57953.35,58307.71,57814.47,57907.13,11223.85,651813905.45,"direct","",1617937200,"2021-04-08"
1617948000000,57750.9,58099.99,57681.98,57953.35,16772.71,971023375.36,"direct","",1617948000,"2021-04-09"
1617958800000,58526.53,58895.35,57750.9,57750.9,18050.97,1053415796.78,"direct","",1617958800,"2021-04-09"
1617969600000,58358.48,58769.21,58038.71,58526.53,14642.09,856026216.83,"direct","",1617969600,"2021-04-09"
1617980400000,58400.16,58435.64,57917.17,58358.48,10518.02,611857893.97,"direct","",1617980400,"2021-04-09"
1617991200000,58330.27,58598.19,58214.6,58400.16,8163.25,476661185.14,"direct","",1617991200,"2021-04-09"
1618002000000,58129.26,58507.76,57877.85,58330.27,8439.73,490897757.21,"direct","",1618002000,"2021-04-09"
1618012800000,58725.28,58727.92,57901.08,58129.26,12262.28,714715905.73,"direct","",1618012800,"2021-04-09"
1618023600000,60848.79,61328.4,58712.24,58725.28,41922.29,2524114579.03,"direct","",1618023600,"2021-04-09"
1618034400000,60538.7,61034.94,60374.91,60848.79,17094.83,1036411461.71,"direct","",1618034400,"2021-04-10"
1618045200000,60571.29,60991.66,60463.26,60538.7,11093.67,672986240.22,"direct","",1618045200,"2021-04-10"
1618056000000,60397.54,60796.88,59895.21,60571.29,15041.27,906909188.08,"direct","",1618056000,"2021-04-10"
1618066800000,60096.58,60524.42,59924.63,60397.54,12581.17,757980301.35,"direct","",1618066800,"2021-04-10"
1618077600000,58610.59,60106.49,58444.24,60096.58,15182.98,901826865.83,"direct","",1618077600,"2021-04-10"
1618088400000,59769.23,59819.67,58485.58,58610.59,12127.43,718364942.41,"direct","",1618088400,"2021-04-10"
1618099200000,60509.26,60592.96,59597.34,59769.23,14820.08,892479924.52,"direct","",1618099200,"2021-04-10"
1618110000000,59660.76,60694.49,59545.13,60509.26,14599.01,876648505.49,"direct","",1618110000,"2021-04-10"
1618120800000,59953.16,60128.04,59349.35,59660.76,9308.07,555760653.1,"direct","",1618120800,"2021-04-11"
1618131600000,59715.61,60033.25,59446.24,59953.16,10530.84,628313862.65,"direct","",1618131600,"2021-04-11"
1618142400000,59557.72,59824.68,59231.94,59715.61,10976.6,653331050.1,"direct","",1618142400,"2021-04-11"
1618153200000,59859.14,59960.36,59413.73,59557.72,9743.81,581309784.94,"direct","",1618153200,"2021-04-11"
1618164000000,59701.14,60183.44,59482.9,59859.14,8444.98,504955462.34,"direct","",1618164000,"2021-04-11"
1618174800000,59999.37,60109.36,59439.79,59701.14,11705.81,700470602.57,"direct","",1618174800,"2021-04-11"
1618185600000,59688.15,60340.57,59594.1,59999.37,10540.78,631112078.38,"direct","",1618185600,"2021-04-11"
1618196400000,60197.14,60596.93,59666.6,59688.15,13688.68,824293291.44,"direct","",1618196400,"2021-04-11"
1618207200000,60688.37,61268.34,60099.52,60197.14,18746.02,1138464879.98,"direct","",1618207200,"2021-04-12"
1618218000000,60233.4,60861.02,59417.11,60688.37,20735.76,1245887164.47,"direct","",1618218000,"2021-04-12"
1618228800000,59888.45,60573.06,59887.38,60233.4,15697.67,946391846.81,"direct","",1618228800,"2021-04-12"
1618239600000,59748.75,60125.66,59623.96,59888.45,14597.77,874373527.32,"direct","",1618239600,"2021-04-12"
1618250400000,60046.16,60234.8,59683.19,59748.75,8344.86,500783640.27,"direct","",1618250400,"2021-04-12"
1618261200000,59860.04,60095.03,59765.81,60046.16,10549.45,632339318.16,"direct","",1618261200,"2021-04-12"
1618272000000,60829.68,60941.91,59816.38,59860.04,16127.34,975673081.59,"direct","",1618272000,"2021-04-12"
1618282800000,60664.44,61092.17,60336.75,60829.68,15192.81,921468647.95,"direct","",1618282800,"2021-04-12"
1618293600000,62690.71,62780.7,60455.31,60664.44,35908.54,2215207760.21,"direct","",1618293600,"2021-04-13"
1618304400000,62934.53,63221.67,62330.83,62690.71,23825.26,1495235578.22,"direct","",1618304400,"2021-04-13"
1618315200000,62918.15,63235.56,62499.91,62934.53,17529.69,1101865926.14,"direct","",1618315200,"2021-04-13"
1618326000000,63345.21,63715.21,62744.33,62918.15,19864.55,1256579270.98,"direct","",1618326000,"2021-04-13"
1618336800000,63169.41,63542.22,62555.42,63345.21,13138.55,828132546.42,"direct","",1618336800,"2021-04-13"
1618347600000,63570.26,63660.01,62858.75,63169.41,11102.01,701760100.72,"direct","",1618347600,"2021-04-13"
1618358400000,63204.62,63841.63,63092.27,63570.26,13982.51,885485525.94,"direct","",1618358400,"2021-04-13"
1618369200000,64017.07,64637.34,63063.18,63204.62,15537.17,993356427.01,"direct","",1618369200,"2021-04-13"
1618380000000,63926.12,64720.65,63597.07,64017.07,23074.51,1483993854.28,,,1618380000,"2021-04-14"
1618390800000,64509.06,64773.11,63048.74,63926.12,18807.25,1201798224.65,,,1618390800,"2021-04-14"
1618401600000,63009.15,64632.53,62720.44,64509.06,24567.28,1563240469.3,,,1618401600,"2021-04-14"
1618412400000,62287.81,63751.32,62279.1,63009.15,20565.68,1296100249.14,,,1618412400,"2021-04-14"
1618423200000,62392.45,62675.96,61351.4,62287.81,23630.3,1465588908.74,,,1618423200,"2021-04-14"
1618434000000,62964.6,63055.86,62371.12,62392.45,11905.78,747248865.64,,,1618434000,"2021-04-14"
1618444800000,62831.58,63376.77,62344.16,62964.6,15110.94,950381099.34,,,1618444800,"2021-04-14"
1618455600000,63267.31,63334.86,62662.31,62831.58,5326.02,335724490.3,,,1618455600,"2021-04-14"
